"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2020-01-01,NA,"D5","TM",7
2020-01-01,"13:30:00","D5","TX",11.5
2020-01-01,"01:37:00","D5","TN",4.6
2020-01-01,NA,"D5","HRM",81
2020-01-01,"20:30:00","D5","HRX",91
2020-01-01,"13:59:00","D5","HRN",64
2020-01-01,NA,"D5","PM",981.8
2020-01-01,"10:30:00","D5","PX",983.2
2020-01-01,"04:39:00","D5","PN",980.8
2020-01-01,NA,"D5","PPT",0
2020-01-01,NA,"D5","RS24h",8.8
2020-01-01,NA,"D5","VVM10",2.6
2020-01-01,NA,"D5","DVM10",63
2020-01-01,"00:21:00","D5","VVX10",11.2
2020-01-01,"00:21:00","D5","DVVX10",321
2020-01-01,NA,"X2","TM",8.3
2020-01-01,"14:34:00","X2","TX",12
2020-01-01,"05:29:00","X2","TN",4.5
2020-01-01,NA,"X2","HRM",81
2020-01-01,"23:59:00","X2","HRX",95
2020-01-01,"11:10:00","X2","HRN",62
2020-01-01,NA,"X4","TM",10
2020-01-01,"14:11:00","X4","TX",13.3
2020-01-01,"05:04:00","X4","TN",6.7
2020-01-01,NA,"X4","HRM",68
2020-01-01,"05:04:00","X4","HRX",77
2020-01-01,"12:02:00","X4","HRN",55
2020-01-01,NA,"X4","PM",1027.4
2020-01-01,"10:10:00","X4","PX",1028.9
2020-01-01,"14:00:00","X4","PN",1026.5
2020-01-01,NA,"X4","PPT",0
2020-01-01,NA,"X4","RS24h",8.8
2020-01-01,NA,"X4","VVM10",1
2020-01-01,NA,"X4","DVM10",221
2020-01-01,"00:09:00","X4","VVX10",4.2
2020-01-01,"00:09:00","X4","DVVX10",288
2020-01-01,NA,"X8","TM",8.2
2020-01-01,"13:15:00","X8","TX",12.9
2020-01-01,"07:30:00","X8","TN",3.8
2020-01-01,NA,"X8","HRM",79
2020-01-01,"22:04:00","X8","HRX",94
2020-01-01,"13:12:00","X8","HRN",57
2020-01-01,NA,"X8","PM",1021.8
2020-01-01,"10:30:00","X8","PX",1023.3
2020-01-01,"04:45:00","X8","PN",1020.9
2020-01-01,NA,"X8","PPT",0
2020-01-01,NA,"X8","RS24h",8.6
2020-01-01,NA,"X8","VVM10",1.1
2020-01-01,NA,"X8","DVM10",275
2020-01-01,"01:49:00","X8","VVX10",4.9
2020-01-01,"01:49:00","X8","DVVX10",293
2020-01-02,NA,"D5","TM",7.7
2020-01-02,"14:14:00","D5","TX",12.3
