"CODI_ESTACIO","NOM_ESTACIO","EMPLACAMENT","CODI_BARRI","NOM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_MUNICIPI","NOM_MUNICIPI","CODI_COMARCA","NOM_COMARCA","CODI_PROVINCIA","NOM_PROVINCIA","ALTITUD","LATITUD","LONGITUD","CODI_XARXA","NOM_XARXA","CODI_ESTAT","DATA_ALTA","DATA_BAIXA","ACRÒNIM"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"DVM10"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"DVVX10"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"HRM"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"HRN"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"HRX"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"PM"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"PN"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"PPT"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"PX"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"RS24h"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"TM"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"TN"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"TX"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"VVM10"
"D5","Barcelona - Observatori Fabra","Observatori Fabra","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",411,41.41864,2.12379,1,"XEMA",2,1995-11-03,NA,"VVX10"
"X2","Barcelona - Zoo","Zoo","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",7,41.38943,2.18847,1,"XEMA",2,2006-09-22,NA,"HRM"
"X2","Barcelona - Zoo","Zoo","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",7,41.38943,2.18847,1,"XEMA",2,2006-09-22,NA,"HRN"
"X2","Barcelona - Zoo","Zoo","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",7,41.38943,2.18847,1,"XEMA",2,2006-09-22,NA,"HRX"
"X2","Barcelona - Zoo","Zoo","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",7,41.38943,2.18847,1,"XEMA",2,2006-09-22,NA,"TM"
"X2","Barcelona - Zoo","Zoo","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",7,41.38943,2.18847,1,"XEMA",2,2006-09-22,NA,"TN"
"X2","Barcelona - Zoo","Zoo","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",7,41.38943,2.18847,1,"XEMA",2,2006-09-22,NA,"TX"
